Sample in Buffer,Sample in Window,TRIGGER,LVDS_DATA_0_DBG,LVDS_DATA_1_DBG,LVDS_DATA_2_DBG,LVDS_DATA_3_DBG
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
625,625,0,0,0,0,1
626,626,0,0,0,0,0
627,627,0,0,0,1,1
628,628,0,0,0,0,0
629,629,0,0,0,1,1
630,630,0,0,0,0,0
631,631,0,0,0,1,0
632,632,0,0,0,1,1
633,633,0,0,0,0,0
634,634,0,0,0,1,1
635,635,0,0,0,0,0
636,636,0,0,0,1,1
637,637,0,0,0,1,1
638,638,0,0,0,0,0
639,639,0,0,0,1,1
640,640,0,0,0,0,0
641,641,0,0,0,1,1
642,642,0,0,0,0,1
643,643,0,0,0,1,0
644,644,0,0,0,1,0
645,645,0,0,0,0,0
646,646,0,0,0,1,1
647,647,0,0,0,0,1
648,648,0,0,0,1,0
649,649,0,0,0,1,0
650,650,0,0,0,0,0
651,651,0,0,0,1,1
652,652,0,0,0,0,1
653,653,0,0,0,1,0
654,654,0,0,0,1,0
655,655,0,0,0,1,0
656,656,0,0,0,1,1
657,657,0,0,0,0,1
658,658,0,0,0,1,1
659,659,0,0,0,0,0
660,660,0,0,0,1,1
661,661,0,0,0,0,1
662,662,0,0,0,0,1
663,663,0,0,0,1,1
664,664,0,0,0,0,0
665,665,0,0,0,1,1
666,666,0,0,0,0,1
667,667,0,0,0,0,1
668,668,0,0,0,1,1
669,669,0,0,0,0,0
670,670,0,0,0,1,1
671,671,0,0,0,0,0
672,672,0,0,0,1,1
673,673,0,0,0,1,0
674,674,0,0,0,0,0
675,675,0,0,0,1,1
676,676,0,0,0,0,0
677,677,0,0,0,1,1
678,678,0,0,0,1,0
679,679,0,0,0,0,0
680,680,0,0,0,1,1
681,681,0,0,0,0,0
682,682,0,0,0,1,1
683,683,0,0,0,1,0
684,684,0,0,0,0,0
685,685,0,0,0,1,1
686,686,0,0,0,0,0
687,687,0,0,0,1,1
688,688,0,0,0,0,0
689,689,0,0,0,1,0
690,690,0,0,0,1,0
691,691,0,0,0,0,0
692,692,0,0,0,1,1
693,693,0,0,0,0,0
694,694,0,0,0,1,0
695,695,0,0,0,1,0
696,696,0,0,0,1,0
697,697,0,0,0,1,1
698,698,0,0,0,0,0
699,699,0,0,0,1,1
700,700,0,0,0,0,0
701,701,0,0,0,1,1
702,702,0,0,0,1,1
703,703,0,0,0,0,0
704,704,0,0,0,1,1
705,705,0,0,0,0,0
706,706,0,0,0,1,0
707,707,0,0,0,0,1
708,708,0,0,0,0,0
709,709,0,0,0,1,1
710,710,0,0,0,0,0
711,711,0,0,0,1,1
712,712,0,0,0,0,1
713,713,0,0,0,0,0
714,714,0,0,0,1,1
715,715,0,0,0,0,0
716,716,0,0,0,1,1
717,717,0,0,0,0,0
718,718,0,0,0,1,0
719,719,0,0,0,1,0
720,720,0,0,0,0,0
721,721,0,0,0,1,1
722,722,0,0,0,0,0
723,723,0,0,0,1,0
724,724,0,0,0,1,0
725,725,0,0,0,0,0
726,726,0,0,0,1,1
727,727,0,0,0,0,0
728,728,0,0,0,1,1
729,729,0,0,0,0,0
730,730,0,0,0,1,0
731,731,0,0,0,1,0
732,732,0,0,0,0,0
733,733,0,0,0,1,1
734,734,0,0,0,0,0
735,735,0,0,0,1,0
736,736,0,0,0,1,0
